iter	Passed	Remaining
0	157	156845
1	158	78979
2	159	52934
3	161	40228
4	162	32369
5	163	27092
6	164	23330
7	165	20531
8	166	18375
9	168	16649
10	169	15256
11	170	14042
12	171	13017
13	172	12133
14	173	11361
15	173	10694
16	176	10186
17	177	9676
18	178	9201
19	179	8785
20	180	8426
21	181	8081
22	182	7757
23	183	7456
24	184	7180
25	184	6927
26	185	6692
27	186	6473
28	187	6270
29	188	6080
30	188	5906
31	191	5789
32	192	5646
33	193	5501
34	194	5375
35	195	5247
36	197	5133
37	198	5023
38	199	4913
39	200	4806
40	201	4708
41	202	4611
42	203	4519
43	204	4435
44	206	4378
45	207	4303
46	208	4225
47	209	4159
48	211	4106
49	213	4048
50	214	3982
51	214	3917
52	216	3874
53	217	3816
54	218	3761
55	220	3724
56	222	3678
57	223	3625
58	224	3580
59	225	3535
60	227	3498
61	228	3457
62	229	3414
63	230	3369
64	231	3326
65	232	3284
66	232	3242
67	233	3203
68	235	3173
69	236	3145
70	237	3110
71	238	3075
72	239	3045
73	241	3017
74	242	2987
75	242	2954
76	243	2922
77	244	2891
78	245	2861
79	246	2831
80	247	2802
81	247	2774
82	248	2743
83	249	2723
84	251	2705
85	252	2682
86	253	2658
87	255	2652
88	257	2634
89	258	2610
90	258	2586
91	259	2563
92	260	2541
93	261	2519
94	262	2499
95	263	2478
96	265	2475
97	267	2459
98	268	2442
99	269	2428
100	271	2418
101	272	2400
102	273	2381
103	274	2364
104	275	2347
105	276	2330
106	277	2312
107	277	2295
108	279	2287
109	281	2279
110	282	2264
111	283	2249
112	285	2238
113	286	2224
114	287	2211
115	288	2196
116	288	2178
117	289	2163
118	290	2148
119	290	2133
120	291	2119
121	292	2104
122	293	2090
123	295	2085
124	296	2073
125	297	2061
126	297	2047
127	298	2035
128	300	2032
129	301	2019
130	302	2006
131	303	1993
132	304	1981
133	304	1970
134	305	1958
135	306	1946
136	307	1935
137	308	1924
138	310	1922
139	311	1913
140	312	1903
141	313	1892
142	314	1883
143	315	1874
144	316	1866
145	317	1856
146	318	1846
147	319	1836
148	319	1826
149	320	1816
150	321	1807
151	322	1797
152	323	1788
153	324	1783
154	325	1775
155	326	1766
156	327	1758
157	328	1751
158	329	1745
159	331	1738
160	331	1728
161	332	1719
162	333	1711
163	333	1702
164	334	1694
165	335	1686
166	336	1678
167	337	1670
168	338	1666
169	340	1662
170	341	1655
171	342	1648
172	343	1642
173	344	1636
174	345	1630
175	346	1623
176	347	1616
177	348	1608
178	349	1602
179	350	1595
180	351	1588
181	352	1582
182	353	1578
183	354	1573
184	355	1567
185	356	1561
186	358	1557
187	359	1552
188	360	1546
189	361	1540
190	362	1533
191	363	1527
192	363	1521
193	364	1515
194	365	1509
195	366	1503
196	367	1498
197	369	1494
198	370	1490
199	371	1484
200	374	1489
201	375	1484
202	376	1479
203	377	1474
204	378	1469
205	379	1463
206	380	1456
207	381	1451
208	381	1445
209	384	1445
210	385	1440
211	386	1435
212	387	1430
213	388	1426
214	389	1422
215	390	1419
216	391	1413
217	392	1408
218	393	1403
219	394	1398
220	395	1393
221	396	1388
222	397	1383
223	398	1380
224	399	1377
225	400	1373
226	402	1370
227	403	1366
228	404	1362
229	405	1358
230	406	1354
231	407	1349
232	408	1344
233	409	1339
234	410	1334
235	411	1330
236	412	1328
237	413	1325
238	414	1321
239	415	1316
240	416	1313
241	419	1314
242	420	1310
243	421	1305
244	422	1301
245	423	1297
246	424	1292
247	424	1288
248	425	1283
249	426	1279
250	429	1280
251	430	1276
252	431	1272
253	432	1270
254	433	1267
255	435	1264
256	436	1262
257	437	1258
